Samples,Temperature,TempC
1,72.20,22.34
2,72.16,22.31
3,72.16,22.31
4,72.15,22.30
5,72.15,22.30
6,72.15,22.30
7,72.16,22.31
8,72.16,22.31
9,72.16,22.31
10,72.18,22.32
11,72.16,22.31
12,72.16,22.31
13,72.18,22.32
14,72.18,22.32
15,72.18,22.32
16,72.20,22.34
17,72.23,22.35
18,72.25,22.36
19,72.26,22.37
20,72.28,22.38
21,72.28,22.38
22,72.26,22.37
23,72.26,22.37
24,72.26,22.37
25,72.25,22.36
26,72.25,22.36
27,72.25,22.36
28,72.25,22.36
29,72.25,22.36
30,72.25,22.36
31,72.23,22.35
32,72.25,22.36
33,72.23,22.35
34,72.23,22.35
35,72.23,22.35
36,72.23,22.35
37,72.23,22.35
38,72.23,22.35
39,72.23,22.35
40,72.23,22.35
41,72.23,22.35
42,72.25,22.36
43,72.25,22.36
44,72.25,22.36
45,72.25,22.36
46,72.26,22.37
47,72.26,22.37
48,72.28,22.38
49,72.26,22.37
50,72.28,22.38
51,72.26,22.37
52,72.26,22.37
53,72.28,22.38
54,72.26,22.37
55,72.26,22.37
56,72.26,22.37
57,72.26,22.37
58,72.25,22.36
59,72.26,22.37
60,72.26,22.37
61,72.25,22.36
62,72.25,22.36
63,72.25,22.36
64,72.25,22.36
65,72.25,22.36
66,72.25,22.36
67,72.25,22.36
68,72.23,22.35
69,72.23,22.35
70,72.23,22.35
71,72.23,22.35
72,72.23,22.35
73,72.23,22.35
74,72.25,22.36
75,72.23,22.35
76,72.23,22.35
77,72.23,22.35
78,72.23,22.35
79,72.25,22.36
80,72.23,22.35
81,72.25,22.36
82,72.25,22.36
83,72.25,22.36
84,72.25,22.36
85,72.25,22.36
86,72.25,22.36
87,72.25,22.36
88,72.26,22.37
89,72.26,22.37
90,72.28,22.38
91,72.26,22.37
92,72.28,22.38
93,72.26,22.37
94,72.28,22.38
95,72.28,22.38
96,72.28,22.38
97,72.29,22.38
98,72.28,22.38
99,72.29,22.38
100,72.29,22.38
101,72.29,22.38
102,72.29,22.38
103,72.30,22.39
104,72.30,22.39
105,72.32,22.40
106,72.30,22.39
107,72.32,22.40
108,72.32,22.40
109,72.32,22.40
110,72.33,22.41
111,72.32,22.40
112,72.33,22.41
113,72.33,22.41
114,72.35,22.41
115,72.33,22.41
116,72.35,22.41
117,72.35,22.41
118,72.35,22.41
119,72.36,22.42
120,72.36,22.42
121,72.36,22.42
122,72.37,22.43
123,72.36,22.42
124,72.37,22.43
125,72.39,22.44
126,72.39,22.44
127,72.39,22.44
128,72.40,22.45
129,72.40,22.45
130,72.40,22.45
131,72.40,22.45
132,72.43,22.46
133,72.47,22.48
134,72.51,22.51
135,72.53,22.52
136,72.58,22.55
137,72.61,22.56
138,72.60,22.55
139,72.58,22.55
140,72.57,22.54
141,72.57,22.54
142,72.56,22.53
143,72.56,22.53
144,72.54,22.52
145,72.56,22.53
146,72.56,22.53
147,72.56,22.53
148,72.54,22.52
149,72.53,22.52
150,72.54,22.52
151,72.53,22.52
152,72.53,22.52
153,72.51,22.51
154,72.53,22.52
155,72.53,22.52
156,72.53,22.52
157,72.51,22.51
158,72.51,22.51
159,72.51,22.51
160,72.51,22.51
161,72.51,22.51
162,72.53,22.52
163,72.53,22.52
164,72.53,22.52
165,72.51,22.51
166,72.53,22.52
167,72.53,22.52
168,72.50,22.50
169,72.50,22.50
170,72.51,22.51
171,72.53,22.52
172,72.51,22.51
173,72.51,22.51
174,72.51,22.51
175,72.50,22.50
176,72.50,22.50
177,72.50,22.50
178,72.50,22.50
179,72.50,22.50
180,72.50,22.50
181,72.49,22.49
182,72.49,22.49
183,72.49,22.49
184,72.49,22.49
185,72.50,22.50
186,72.50,22.50
187,72.49,22.49
188,72.49,22.49
189,72.49,22.49
190,72.49,22.49
191,72.49,22.49
192,72.50,22.50
193,72.50,22.50
194,72.50,22.50
195,72.50,22.50
196,72.50,22.50
197,72.50,22.50
198,72.50,22.50
199,72.51,22.51
200,72.51,22.51
201,72.51,22.51
202,72.51,22.51
203,72.51,22.51
204,72.53,22.52
205,72.51,22.51
206,72.51,22.51
207,72.53,22.52
208,72.53,22.52
209,72.54,22.52
210,72.54,22.52
211,72.54,22.52
212,72.54,22.52
213,72.56,22.53
214,72.54,22.52
